"Intensity","E4","Composition","Points:0","Points:1","Points:2"
1.096,1.4478,0,-0.27891,0.3452,-1.5974
1.0962,1.4493,0,-0.27891,0.36818,-1.5974
1.0969,1.4528,0,-0.27891,0.39117,-1.5974
1.0978,1.4575,0,-0.27891,0.41415,-1.5974
1.0988,1.463,0,-0.27891,0.43714,-1.5974
1.1,1.4692,0,-0.27891,0.46012,-1.5974
1.1012,1.4758,0,-0.27891,0.48311,-1.5974
1.1025,1.4827,0,-0.27891,0.50609,-1.5974
1.104,1.4908,0,-0.27891,0.52908,-1.5974
1.1057,1.5003,0,-0.27891,0.55206,-1.5974
1.1075,1.5099,0,-0.27891,0.57504,-1.5974
1.1092,1.5194,0,-0.27891,0.59803,-1.5974
1.1109,1.5288,0,-0.27891,0.62101,-1.5974
1.1128,1.5392,0,-0.27891,0.644,-1.5974
