Intensity,E4,Composition,Points:0,Points:1,Points:2
0.69405,0.23221,0,-0.10379,0.14095,-0.50926
0.69236,0.22993,0,-0.10379,0.14878,-0.50926
0.69096,0.22806,0,-0.10379,0.15662,-0.50926
0.68992,0.22666,0,-0.10379,0.16445,-0.50926
0.68928,0.2258,0,-0.10379,0.17229,-0.50926
0.68909,0.22552,0,-0.10379,0.18012,-0.50926
0.68936,0.22587,0,-0.10379,0.18795,-0.50926
0.69013,0.22686,0,-0.10379,0.19579,-0.50926
0.69141,0.22854,0,-0.10379,0.20362,-0.50926
0.6932,0.23091,0,-0.10379,0.21146,-0.50926
0.6955,0.23399,0,-0.10379,0.21929,-0.50926
0.69831,0.23778,0,-0.10379,0.22712,-0.50926
0.7016,0.2423,0,-0.10379,0.23496,-0.50926
0.70537,0.24755,0,-0.10379,0.24279,-0.50926
0.70958,0.25353,0,-0.10379,0.25063,-0.50926
0.71423,0.26024,0,-0.10379,0.25846,-0.50926
0.71928,0.26769,0,-0.10379,0.2663,-0.50926
0.72472,0.27588,0,-0.10379,0.27413,-0.50926
0.73052,0.28484,0,-0.10379,0.28196,-0.50926
0.73668,0.29457,0,-0.10379,0.2898,-0.50926
0.74318,0.30512,0,-0.10379,0.29763,-0.50926
0.75002,0.31651,0,-0.10379,0.30547,-0.50926
0.75719,0.32879,0,-0.10379,0.3133,-0.50926
0.76469,0.34201,0,-0.10379,0.32113,-0.50926
0.77252,0.35626,0,-0.10379,0.32897,-0.50926
0.78071,0.3716,0,-0.10379,0.3368,-0.50926
0.78926,0.38814,0,-0.10379,0.34464,-0.50926
0.79818,0.40598,0,-0.10379,0.35247,-0.50926
0.8075,0.42527,0,-0.10379,0.3603,-0.50926
0.81723,0.44614,0,-0.10379,0.36814,-0.50926
0.8274,0.46876,0,-0.10379,0.37597,-0.50926
0.83803,0.4933,0,-0.10379,0.38381,-0.50926
0.84914,0.51996,0,-0.10379,0.39164,-0.50926
0.86072,0.54889,0,-0.10379,0.39948,-0.50926
0.87272,0.58013,0,-0.10379,0.40731,-0.50926
0.885,0.61347,0,-0.10379,0.41514,-0.50926
0.89727,0.64817,0,-0.10379,0.42298,-0.50926
0.90903,0.68283,0,-0.10379,0.43081,-0.50926
0.91974,0.71557,0,-0.10379,0.43865,-0.50926
0.92898,0.74476,0,-0.10379,0.44648,-0.50926
0.93656,0.76938,0,-0.10379,0.45431,-0.50926
0.94244,0.7889,0,-0.10379,0.46215,-0.50926
0.9467,0.80325,0,-0.10379,0.46998,-0.50926
0.94954,0.81294,0,-0.10379,0.47782,-0.50926
0.95132,0.81905,0,-0.10379,0.48565,-0.50926
0.95244,0.82295,0,-0.10379,0.49348,-0.50926
0.95332,0.826,0,-0.10379,0.50132,-0.50926
0.95429,0.82938,0,-0.10379,0.50915,-0.50926
0.95561,0.83403,0,-0.10379,0.51699,-0.50926
0.95748,0.8406,0,-0.10379,0.52482,-0.50926
1.1271,1.6144,0,-0.10379,-0.52495,-0.50142
1.1166,1.5554,0,-0.10379,-0.51712,-0.50142
1.1063,1.4991,0,-0.10379,-0.50928,-0.50142
1.0965,1.4467,0,-0.10379,-0.50145,-0.50142
1.0875,1.3994,0,-0.10379,-0.49361,-0.50142
1.0795,1.3587,0,-0.10379,-0.48578,-0.50142
1.0728,1.3257,0,-0.10379,-0.47795,-0.50142
1.0678,1.3011,0,-0.10379,-0.47011,-0.50142
1.0645,1.2847,0,-0.10379,-0.46228,-0.50142
1.0625,1.2753,0,-0.10379,-0.45444,-0.50142
1.0617,1.2709,0,-0.10379,-0.44661,-0.50142
1.0615,1.2701,0,-0.10379,-0.43878,-0.50142
1.0616,1.2705,0,-0.10379,-0.43094,-0.50142
1.0611,1.268,0,-0.10379,-0.42311,-0.50142
1.0593,1.2592,0,-0.10379,-0.41527,-0.50142
1.0559,1.2431,0,-0.10379,-0.40744,-0.50142
1.0511,1.2207,0,-0.10379,-0.39961,-0.50142
