Intensity,E4,Composition,Points:0,Points:1,Points:2,Run-Aver-E4,Conv-Gauss
0.866,0.56308,0,-0.10379,-0.23509,-0.50926,0.969315,8.45662
0.85523,0.53562,0,-0.10379,-0.22725,-0.50926,1.03323,8.49969
0.84443,0.5091,0,-0.10379,-0.21942,-0.50926,1.11524,8.54173
0.83363,0.48358,0,-0.10379,-0.21159,-0.50926,1.22658,8.58278
0.82288,0.45913,0,-0.10379,-0.20375,-0.50926,1.3936,8.62287
0.81223,0.43582,0,-0.10379,-0.19592,-0.50926,1.70029,8.66186
0.80173,0.41371,0,-0.10379,-0.18808,-0.50926,2.11145,8.69984
0.79144,0.39287,0,-0.10379,-0.18025,-0.50926,2.95362,8.7367
0.78143,0.37337,0,-0.10379,-0.17242,-0.50926,4.10144,8.77245
0.77178,0.35525,0,-0.10379,-0.16458,-0.50926,4.74729,8.80712
0.76256,0.33855,0,-0.10379,-0.15675,-0.50926,5.62134,8.8406
0.75384,0.32331,0,-0.10379,-0.14891,-0.50926,6.16025,8.87297
0.7457,0.30954,0,-0.10379,-0.14108,-0.50926,6.64473,8.90411
0.7382,0.29723,0,-0.10379,-0.13325,-0.50926,8.00288,8.93405
0.73139,0.28638,0,-0.10379,-0.12541,-0.50926,8.32096,8.96282
0.72532,0.27695,0,-0.10379,-0.11758,-0.50926,8.49208,8.99031
0.72002,0.26892,0,-0.10379,-0.10974,-0.50926,9.02422,9.0166
0.71552,0.26222,0,-0.10379,-0.10191,-0.50926,9.33997,9.04158
0.71181,0.2568,0,-0.10379,-0.094075,-0.50926,9.48977,9.0653
0.70889,0.25258,0,-0.10379,-0.08624,-0.50926,10.0155,9.08773
0.70672,0.24948,0,-0.10379,-0.078406,-0.50926,10.0932,9.10885
0.70526,0.2474,0,-0.10379,-0.070572,-0.50926,10.1478,9.12865
0.70444,0.24625,0,-0.10379,-0.062738,-0.50926,10.2376,9.14712
0.70421,0.24592,0,-0.10379,-0.054904,-0.50926,10.5369,9.16426
0.70447,0.24629,0,-0.10379,-0.04707,-0.50926,10.7322,9.18004
0.70513,0.24724,0,-0.10379,-0.039236,-0.50926,10.7824,9.19446
0.70612,0.24864,0,-0.10379,-0.031402,-0.50926,10.864,9.20752
0.70732,0.25037,0,-0.10379,-0.023567,-0.50926,10.9607,9.2192
0.70866,0.25229,0,-0.10379,-0.015733,-0.50926,11.2545,9.2295
0.71003,0.25428,0,-0.10379,-0.0078992,-0.50926,11.3257,9.23841
0.71135,0.25621,0,-0.10379,-6.51e-05,-0.50926,11.3482,9.24594
0.71255,0.25798,0,-0.10379,0.007769,-0.50926,11.3597,9.25206
0.71357,0.25948,0,-0.10379,0.015603,-0.50926,11.3671,9.25679
0.71433,0.26063,0,-0.10379,0.023437,-0.50926,11.3722,9.26012
0.71481,0.26135,0,-0.10379,0.031271,-0.50926,11.3747,9.26205
0.71496,0.2616,0,-0.10379,0.039106,-0.50926,11.3769,9.26257
0.71478,0.26134,0,-0.10379,0.04694,-0.50926,11.3746,9.26169
0.71424,0.26057,0,-0.10379,0.054774,-0.50926,11.3805,9.25942
0.71336,0.2593,0,-0.10379,0.062608,-0.50926,11.4048,9.25574
0.71215,0.25756,0,-0.10379,0.070442,-0.50926,11.4209,9.25067
